Location,Latitude,Longitude,Distance km
Origin,0,0,0.0 km
Accra,05.35N,00.06W,591.6272051749721 km
Lome,06.09N,01.20E,686.4953848273433 km
Sao Tome,00.10N,06.39E,711.4171241365513 km
Porto Novo (constitutional) / Cotonou (seat of government),06.23N,02.42E,739.5122179874643 km
Yamoussoukro,06.49N,05.17W,919.1565897865481 km
Malabo,03.45N,08.50E,1019.6954868118753 km
Libreville,00.25N,09.26E,1031.1858248991928 km
Abuja,09.05N,07.32E,1288.4312778011515 km
Yaounde,03.50N,11.35E,1320.6719927237202 km
Monrovia,06.18N,10.47W,1349.139989501515 km
Ouagadougou,12.15N,01.30W,1351.3326756474885 km
Niamey,13.27N,02.06E,1485.073794864891 km
Bamako,12.34N,07.55W,1599.33600487193 km
Freetown,08.30N,13.17W,1725.3368187108258 km
Luanda,08.50S,13.15E,1735.1288318532197 km
Brazzaville,04.09S,15.12E,1741.473000930231 km
Kinshasa,04.20S,15.15E,1747.812775237556 km
Conakry,09.29N,13.49W,1814.0450516761439 km
Bangui,04.23N,18.35E,2093.768858326868 km
N'Djamena,12.10N,14.59E,2095.0554931568477 km
Bissau,11.45N,15.45W,2126.491053610908 km
Banjul,13.28N,16.40W,2330.271400204476 km
Dakar,14.34N,17.29W,2478.3375912926567 km
Praia,15.02N,23.34W,3058.4543823956 km
Windhoek,22.35S,17.04E,3086.644528053263 km
Bujumbura,03.16S,29.18E,3265.3859008529107 km
Kigali,01.59S,30.04E,3348.222167505801 km
Lusaka,15.28S,28.16E,3527.935588062502 km
Kampala,00.20N,32.30E,3595.680148195299 km
Tripoli,32.49N,13.07E,3849.4159852950957 km
Gaborone,24.45S,25.57E,3862.4558748317318 km
Harare,17.43S,31.02E,3907.1503502509836 km
Khartoum,15.31N,32.35E,3939.6620185137594 km
Dodoma,06.08S,35.45E,3995.6787769652574 km
Lilongwe,14.00S,33.48E,4000.6913058572113 km
Algiers,36.42N,03.08E,4044.696064039796 km
Nairobi,01.17S,36.48E,4062.707102991408 km
Pretoria (administrative) / Cape Town (legislative) / Bloemfontein (judicial),25.44S,28.12E,4130.7299425901265 km
Tunis,36.50N,10.11E,4173.830730188637 km
Valletta,35.54N,14.31E,4205.258133573353 km
Maseru,29.18S,27.30E,4340.926842323584 km
Lisbon,38.42N,09.10W,4354.95047749761 km
Addis Ababa,09.02N,38.42E,4373.977726569547 km
Mbabane (administrative),26.18S,31.06E,4414.8809254727075 km
Madrid,40.25N,03.45W,4471.00912890343 km
Maputo,25.58S,32.32E,4480.001592489697 km
Asmara,15.19N,38.55E,4560.056279835053 km
Cairo,30.01N,31.14E,4681.095927798637 km
Andorra la Vella,42.31N,01.32E,4687.941036069419 km
Rome,41.54N,12.29E,4764.169246723015 km
Athens,37.58N,23.46E,4808.391306670921 km
Djibouti,11.08N,42.20E,4825.475959365607 km
Moroni,11.40S,43.16E,4935.338675784387 km
Tirane,41.18N,19.49E,4966.306632919111 km
San Marino,43.55N,12.30E,4976.837434953049 km
Mogadishu,02.02N,45.25E,5041.074871808971 km
Jerusalem,31.71N,35.10W,5095.503698876444 km
Amman,31.57N,35.52E,5118.391077878514 km
Skopje,42.01N,21.26E,5118.964007201096 km
Sarajevo,43.52N,18.26E,5151.772955631939 km
Mamoudzou,12.48S,45.14E,5171.0489364316645 km
Nicosia,35.10N,33.25E,5197.374706738918 km
Bern,46.57N,07.28E,5208.230526066822 km
Beirut,33.53N,35.31E,5233.24040527298 km
Sofia,42.45N,23.20E,5244.1555502491165 km
Zagreb,45.50N,15.58E,5268.217682137539 km
Damascus,33.30N,36.18E,5282.21429126038 km
Ljubljana,46.04N,14.33E,5290.330589468517 km
Vaduz,47.08N,09.31E,5294.285482071214 km
Belgrade,44.50N,20.37E,5325.363927106144 km
Paris,48.50N,02.20E,5378.207760490132 km
St. Peter Port,49.26N,02.33W,5463.1100724154285 km
Ankara,39.57N,32.54E,5489.471639130251 km
Brasilia,15.47S,47.55W,5498.464130149291 km
Luxembourg,49.37N,06.09E,5501.776789319217 km
Bucuresti,44.27N,26.10E,5543.017226668113 km
Budapest,47.29N,19.05E,5556.637353396453 km
Vienna,48.12N,16.22E,5557.189364817194 km
Antananarivo,18.55S,47.31E,5561.514114159228 km
Bratislava,48.10N,17.07E,5578.800373393279 km
Brussels,50.51N,04.21E,5611.827637560284 km
Riyadh,24.41N,46.42E,5683.131901443433 km
London,51.36N,00.05W,5692.138294728852 km
Prague,50.05N,14.22E,5709.3173910562255 km
Amsterdam / The Hague (seat of Government),52.23N,04.54E,5804.516398122479 km
Cayenne,05.05N,52.18W,5827.536185674564 km
Chisinau,47.02N,28.50E,5900.25071962704 km
Baghdad,33.20N,44.30E,5911.651133631673 km
Dublin,53.21N,06.15W,5925.553309128905 km
Berlin,52.30N,13.25E,5927.66911727472 km
Kuwait,29.30N,48.00E,6035.582240629877 km
Warsaw,52.13N,21.00E,6102.784669977169 km
Manama,26.10N,50.30E,6114.866558912155 km
Paramaribo,05.50N,55.10W,6153.822938993504 km
Doha,25.15N,51.35E,6179.691502897735 km
Copenhagen,55.41N,12.34E,6244.50250361467 km
Kiev (Russia),50.30N,30.28E,6270.4415331609225 km
Yerevan,40.10N,44.31E,6309.577938296987 km
T'bilisi,41.43N,44.50E,6404.525118508804 km
Abu Dhabi,24.28N,54.22E,6427.710954459118 km
Minsk,53.52N,27.30E,6445.924783566387 km
Vilnius,54.38N,25.19E,6455.230407670754 km
Georgetown,06.50N,58.12W,6494.913919957628 km
Tehran,35.44N,51.30E,6598.340987621029 km
Nouakchott,20.10S,57.30E,6621.025701476978 km
Riga,56.53N,24.08E,6629.907226843938 km
Oslo,59.55N,10.45E,6666.287673948466 km
Bridgetown,13.05N,59.30W,6696.925958604306 km
Baku,40.29N,49.56E,6703.71415630311 km
Stockholm,59.20N,18.03E,6751.061736534665 km
Asuncion,25.10S,57.30W,6752.353765570024 km
Masqat,23.37N,58.36E,6809.18069394122 km
Castries,14.02N,60.58W,6848.49951971549 km
Kingstown,13.10N,61.10W,6891.259228186155 km
Fort-de-France,14.36N,61.02W,6900.614609091263 km
Torshavn,62.05N,06.56W,6904.756981664917 km
Tallinn,59.22N,24.48E,6905.319994496989 km
Roseau,15.20N,61.24W,6936.874172243656 km
Montevideo,34.50S,56.11W,6963.343942907142 km
Basse-Terre,16.00N,61.44W,6970.82939175563 km
West Indies,17.20N,61.48W,6995.210084490831 km
Helsinki,60.15N,25.03E,7011.275858638889 km
Moskva,55.45N,37.35E,7014.687811515272 km
Basseterre,17.17N,62.43W,7094.559664375419 km
Ashgabat,38.00N,57.50E,7219.0326197328695 km
Road Town,18.27N,64.37W,7316.164847917316 km
Reykjavik,64.10N,21.57W,7327.259958506393 km
Charlotte Amalie,18.21N,64.56W,7335.073516365595 km
Buenos Aires,36.30S,60.00W,7363.311895201762 km
Caracas,10.30N,66.55W,7451.927042668295 km
Saint-Pierre,46.46N,56.12W,7490.175432915579 km
San Juan,18.28N,66.07W,7494.2691157399195 km
La Paz (administrative) / Sucre (legislative),16.20S,68.10W,7680.247485185347 km
Willemstad,12.05N,69.00W,7733.744636961242 km
Oranjestad,12.32N,70.02W,7846.7281946028625 km
Santo Domingo,18.30N,69.59W,7863.784110486451 km
Stanley,51.40S,59.51W,7948.850115827925 km
Kabul,34.28N,69.11E,8103.384111714505 km
Port-au-Prince,18.40N,72.20W,8139.24878617429 km
Dushanbe,38.33N,68.48E,8147.666910188526 km
Male,04.00N,73.28E,8162.040364821627 km
Santiago,33.24S,70.40W,8197.644575278362 km
Nuuk,64.10N,51.35W,8236.944450295527 km
Bogota,04.34N,74.00W,8242.748730569048 km
Tashkent,41.20N,69.10E,8275.173019084861 km
Islamabad,33.40N,73.10E,8448.250989126134 km
Kingston,18.00N,76.50W,8588.65037543126 km
Lima,12.00S,77.00W,8602.797895931595 km
Astana,51.10N,71.30E,8712.587934730185 km
Quito,00.15S,78.35W,8721.88646138479 km
Nassau,25.05N,77.20W,8725.95585659845 km
Bishkek,42.54N,74.46E,8741.498174767052 km
New Delhi,28.37N,77.13E,8755.698689972263 km
Panama,09.00N,79.25W,8836.45571251275 km
Ottawa,45.27N,75.42W,8872.163599058955 km
Washington DC,39.91N,77.02W,8905.746168340664 km
,53.00S,74.00E,8942.557454160558 km
Durham NC,36,-78.89,9013.306514412128 km
George Town,19.20N,81.24W,9096.052449095956 km
Havana,23.08N,82.22W,9219.372924337438 km
